listing_id,body_type,color,interior_material,sunroof
20250584,SUV / Crossover,Gray,Leather,
19871922,Minivan,Silver,Other,False
19261137,Sedan,White,Textile,False
19647939,SUV / Crossover,Gray,Textile,False
20120841,Sedan,White,Leather,
19540786,SUV / Crossover,Silver,Other,False
19652714,Sedan,Gray,Textile,False
20398059,SUV / Crossover,Gray,Leather,
20369348,Sedan,Blue,Textile,
19879620,SUV / Crossover,Gray,Textile,False
20412886,Sedan,White,Leather,
20149186,Van,Black,Leather,False
20239379,Sedan,Black,Textile,False
19332609,Sedan,White,Leather,
18096563,Hatchback,Black,Other,False
20186085,Sedan,Blue,Textile,False
19131167,Sedan,White,Leather,
20346102,Sedan,Black,Leather,
18074355,SUV / Crossover,Black,Textile,False
20099795,SUV / Crossover,White,Leather,
19655809,Sedan,Silver,Textile,False
19614994,SUV / Crossover,White,Textile,False
20095530,SUV / Crossover,Gray,Leather,False
19490599,Sedan,Beige,Leather,
20061657,SUV / Crossover,Black,Textile,False
20162413,Sedan,Black,Textile,False
20309536,Sedan,Black,Alcantara,False
20380502,Sedan,Black,Leather,
19281597,SUV / Crossover,Silver,Textile,False
20198915,Sedan,Silver,Other,False
20349970,Sedan,Blue,Leather,
20146336,Sedan,Silver,Textile,False
18649558,Sedan,Black,Leather,
20023554,Sedan,Blue,Textile,False
20138068,Sedan,White,Textile,False
20268618,Sedan,Blue,Leather,
18986931,SUV / Crossover,White,Leather,
20117352,SUV / Crossover,White,Other,False
20342557,Sedan,Blue,Textile,False
20116858,Sedan,Gray,Textile,False
19425238,Roadster,Gray,Leather,False
20004951,Sedan,White,Textile,False
20387015,Sedan,Blue,Textile,False
19111301,Sedan,Black,Other,False
18803755,Wagon,Silver,Leather,
20084042,SUV / Crossover,White,Textile,False
20274835,Sedan,Gray,Leather,
19814872,SUV / Crossover,Black,Leather,
19399807,SUV / Crossover,White,Textile,False
20151033,Minivan,Gray,Textile,False
17371254,SUV / Crossover,Silver,Leather,
20356346,SUV / Crossover,Maroon,Textile,
19216772,SUV / Crossover,Black,Textile,False
19619364,SUV / Crossover,Maroon,Leather,
20303684,Sedan,Black,Textile,False
20111544,Sedan,White,Leather,False
20111517,Hatchback,Silver,Alcantara,False
19855796,Sedan,Silver,Alcantara,
20162188,SUV / Crossover,Silver,Leather,
20285002,Van,White,Textile,False
20412744,Wagon,White,Leather,False
20272476,Sedan,Gray,Leather,
20412743,SUV / Crossover,Gray,Leather,
20199194,Sedan,White,Textile,False
17943146,Sedan,Silver,Textile,False
18614283,SUV / Crossover,White,Leather,
19126889,SUV / Crossover,White,Textile,False
19791238,SUV / Crossover,Gray,Leather,False
20046606,Sedan,Silver,Textile,False
20345932,Hatchback,Silver,Leather,False
20346099,SUV / Crossover,White,Leather,
20202841,Hatchback,White,Leather,False
20329636,Hatchback,Silver,Leather,False
20306342,Sedan,Black,Textile,False
20412717,Sedan,Black,Textile,False
20237201,SUV / Crossover,Silver,Alcantara,False
20412715,Sedan,Cyan,Textile,False
20232717,Minivan,White,Textile,False
20412718,Sedan,Blue,Other,False
20195452,SUV / Crossover,Black,Leather,
19960013,Sedan,Black,Leather,
19575008,SUV / Crossover,Blue,Leatherette,False
18558141,SUV / Crossover,Gray,Leather,
20154439,Sedan,White,Leather,
20369303,Sedan,Gray,Leather,
20270718,Sedan,White,Textile,False
20233021,Sedan,Gray,Leather,False
20398436,Van,White,Textile,False
20322112,Sedan,Silver,Leather,
19676155,Sedan,Black,Textile,False
18224648,Sedan,Black,Other,
20412625,SUV / Crossover,Black,Textile,False
19770867,Sedan,Blue,Other,False
19630575,SUV / Crossover,Gray,Other,False
20223140,Van,White,Other,False
19987037,SUV / Crossover,Silver,Other,False
19879892,Sedan,Silver,Leather,False
18643245,Hatchback,Silver,Textile,False
19417818,Sedan,Blue,Textile,
20412633,Sedan,Gray,Leather,
19570480,SUV / Crossover,White,Textile,False
20294077,SUV / Crossover,Silver,Leather,
20380124,Hatchback,Red,Textile,False
19566421,Sedan,Silver,Alcantara,
20019804,Pickup,White,Leather,False
20412642,Minivan,Silver,Textile,False
20412643,SUV / Crossover,Black,Leather,
18991479,Sedan,Black,Textile,False
20169584,Sedan,White,Textile,False
19870395,Sedan,Green,Textile,False
18734755,Sedan,Cyan,Other,False
20412547,Hatchback,Blue,Textile,False
20412545,Sedan,Gray,Leather,
20412548,Sedan,White,Textile,False
20303965,Sedan,White,Leather,False
19792932,SUV / Crossover,Blue,Leather,
20230338,Sedan,Blue,Textile,
18469627,SUV / Crossover,Black,Leather,False
20264717,Sedan,Black,Textile,False
19745567,SUV / Crossover,Gray,Textile,False
19788453,SUV / Crossover,Blue,Textile,False
20395412,SUV / Crossover,White,Textile,False
19960632,SUV / Crossover,Brown,Leather,
20235946,Sedan,White,Leather,
19528162,SUV / Crossover,White,Leather,
20228475,Sedan,Gray,Leather,
18285364,Sedan,White,Leather,False
20024967,Sedan,White,Textile,False
20034796,Sedan,Black,Textile,False
20374582,Coupe,Black,Textile,False
20197641,Hatchback,Silver,Textile,
20318083,SUV / Crossover,White,Leather,False
19668051,Sedan,Gray,Textile,False
19294099,Sedan,Black,Leather,
19359546,Sedan,Brown,Leather,False
19097565,Sedan,Black,Leather,
18887524,Sedan,Beige,Other,False
20325650,SUV / Crossover,Black,Leather,
20383011,SUV / Crossover,White,Textile,False
20076280,Sedan,Black,Other,False
18239028,Sedan,Silver,Alcantara,
20307658,Sedan,Black,Leather,
20245083,Sedan,Black,Leather,
20304300,SUV / Crossover,Black,Leather,False
19907704,Van,Gray,Textile,False
20058693,Minivan,Silver,Textile,
20253692,Van,White,Textile,False
20061731,Hatchback,Black,Textile,False
20137598,Sedan,White,Textile,False
19159576,Hatchback,Gray,Textile,False
16713339,SUV / Crossover,Maroon,Leather,
20272042,Pickup,White,Leather,
20412450,SUV / Crossover,Gray,Leather,
