listing_id,cleared_customs,condition
20250584,True,True
19871922,True,True
19261137,True,True
19647939,True,True
20120841,True,True
19540786,True,True
19652714,True,True
20398059,True,True
20369348,True,True
19879620,True,False
20412886,True,True
20149186,True,True
20239379,True,True
19332609,True,True
18096563,True,True
20186085,True,True
19131167,False,True
20346102,True,True
18074355,True,True
20099795,True,True
19655809,True,True
19614994,True,False
20095530,True,True
19490599,True,True
20061657,True,True
20162413,True,True
20309536,False,True
20380502,True,True
19281597,True,False
20198915,True,True
20349970,True,True
20146336,True,True
18649558,True,True
20023554,True,True
20138068,True,True
20268618,True,True
18986931,True,True
20117352,True,True
20342557,True,True
20116858,True,True
19425238,True,True
20004951,True,True
20387015,False,False
19111301,True,True
18803755,True,True
20084042,True,True
20274835,True,True
19814872,True,True
19399807,True,True
20151033,True,True
17371254,True,True
20356346,False,True
19216772,True,True
19619364,True,True
20303684,False,True
20111544,True,True
20111517,True,True
19855796,True,True
20162188,True,True
20285002,True,True
20412744,True,True
20272476,False,True
20412743,False,True
20199194,True,True
17943146,False,True
18614283,True,True
19126889,True,True
19791238,True,True
20046606,True,True
20345932,True,True
20346099,True,True
20202841,True,False
20329636,True,True
20306342,True,True
20412717,True,True
20237201,True,True
20412715,True,True
20232717,True,True
20412718,True,True
20195452,True,True
19960013,True,True
19575008,True,True
18558141,True,True
20154439,True,True
20369303,True,True
20270718,True,True
20233021,True,True
20398436,True,True
20322112,True,True
19676155,True,True
18224648,True,False
20412625,True,True
19770867,True,True
19630575,True,True
20223140,True,True
19987037,True,True
19879892,True,True
18643245,True,True
19417818,True,True
20412633,True,True
19570480,True,True
20294077,True,True
20380124,True,True
19566421,True,True
20019804,True,True
20412642,True,True
20412643,True,True
18991479,True,True
20169584,True,True
19870395,True,True
18734755,True,True
20412547,True,True
20412545,True,True
20412548,True,True
20303965,True,False
19792932,True,True
20230338,True,True
18469627,True,True
20264717,True,True
19745567,True,True
19788453,True,True
20395412,True,True
19960632,True,True
20235946,True,True
19528162,True,True
20228475,True,True
18285364,True,True
20024967,True,True
20034796,True,True
20374582,False,True
20197641,True,True
20318083,True,True
19668051,True,True
19294099,True,True
19359546,True,True
19097565,True,True
18887524,True,True
20325650,True,True
20383011,True,True
20076280,True,False
18239028,True,True
20307658,True,True
20245083,True,True
20304300,True,True
19907704,True,True
20058693,True,True
20253692,True,True
20061731,True,True
20137598,True,True
19159576,True,True
16713339,True,True
20272042,True,True
20412450,True,True
20412453,True,True
20019716,True,True
20168076,True,True
20412451,False,True
19944878,True,True
17924138,True,True
20203503,True,True
18537910,True,True
20092468,True,True
20097948,True,True
20299148,True,True
19706317,True,True
20412460,True,True
20053926,True,True
20093287,True,True
20398626,True,True
20412459,True,True
19075019,True,True
20183727,True,True
20398115,True,True
19787876,True,True
20097271,True,True
20053034,True,True
20097376,True,True
20350287,True,True
20212514,True,True
19914950,True,True
17485133,True,True
19182812,True,True
20092447,True,True
20412405,True,True
19816096,True,True
20291499,True,True
20412407,True,True
20412408,True,True
20134079,True,True
20287209,True,True
19998662,True,True
20158110,True,True
19271082,True,True
20275319,True,True
20031976,True,True
20099214,True,True
20095606,False,True
18926869,True,True
19011585,True,True
19838490,True,True
20317358,True,True
16479365,True,True
20295129,True,True
20373224,True,True
20342019,True,True
20246477,True,True
19018526,True,True
19799696,True,True
20381730,True,True
18226702,True,True
20375134,True,True
19974107,True,True
20171582,True,True
20103568,True,True
20119759,True,True
20106753,True,True
20354986,True,True
20330522,True,True
18062085,True,True
19496094,True,True
18026059,True,True
19993167,True,True
20227023,True,True
20307831,True,True
20412295,True,True
19423252,True,True
19980760,True,True
19761680,True,True
20412294,False,True
20313404,True,True
20316581,True,True
20129033,True,True
18728333,True,True
20088125,True,True
19642999,True,True
20026747,True,True
20166170,True,False
20264458,True,True
19952725,True,True
20291826,True,True
19764655,True,True
19475660,True,True
19840782,True,True
19904944,True,True
19931716,True,True
20302376,True,True
19652645,True,True
20098677,True,True
20412226,True,True
20395294,True,True
20397181,True,True
20394807,True,True
20083409,True,True
19133125,True,True
18616743,True,True
19966347,True,True
20013279,True,True
17682916,True,True
20134105,True,True
19825574,True,True
19392964,True,True
19797175,True,False
19953830,True,True
19779718,True,True
20297155,True,True
19663131,True,True
20203533,True,True
20119664,True,True
19580742,True,True
19879674,True,True
19667893,True,True
20412168,True,True
19539795,False,False
20109826,True,True
19078108,True,True
20386851,True,True
17440310,True,True
20011837,True,True
19676543,True,True
20334065,True,True
20170530,True,True
19373123,True,True
20170541,True,True
20041373,True,True
20234613,True,True
20245298,True,True
19389412,True,True
19452101,True,True
18613647,True,True
19890305,True,False
19025660,True,True
19828360,True,True
19332129,True,True
20367606,True,True
20137004,False,True
19192976,True,True
19968060,True,True
20317387,True,True
19359615,True,True
19596246,True,True
19838416,True,True
19320512,True,True
19750140,True,True
20412070,True,True
17089671,True,True
18912556,True,False
20015749,True,True
20363485,True,True
20045783,True,True
20268185,True,True
18561784,False,False
20337921,True,True
20412077,True,True
20102159,True,True
19511804,True,True
18253276,True,True
17787028,True,False
19387034,True,True
19258677,False,True
20386867,True,True
19863178,True,True
18791534,True,True
